"%s already exist","%s вече съществува"
"%s already exists","%s вече съществува"
"-- Please Select --","- Моля изберете --"
"Add Block Names to Hints","Add Block Names to Hints"
"Add Secret Key to URLs","Add Secret Key to URLs"
"Add Store Code to Urls","Добави кода на магазина в URL адресите"
"Admin","Admin"
"Admin Base URL","Admin Base URL"
"Admin User Emails","Admin User Emails"
"Advanced","Разширено"
"Allow countries","Разреши страни"
"Allowed IPs (comma separated)","Позволени IP адреси (разделени със запетая)"
"Are you sure?","Сигурен ли сте?"
"Back","Назад"
"Backup options","Backup options"
"Base JavaScript URL","Базов JavaScript URL"
"Base Link URL","Базова URL Връзка"
"Base Media URL","Базов медиен URL"
"Base Skin URL","Базов URL на кожата"
"Base URL","Базов URL"
"Before modifying the store view code please make sure that it is not used in index.php","Преди да модифицирате сорс кода на магазина, моля уверете се, че не е използван в index.php"
"Before modifying the website code please make sure that it is not used in index.php","Преди да модифицирате сорс кода на уебсайта, моля уверете се, че не е използван в index.php"
"Block with name ""%s"" already exists","Блок с име ""%s"" вече съществува"
"Blocks HTML output","Blocks HTML output"
"Can't retrieve request object","Не може да се прочете искания обект"
"Can't retrieve entity config: %s","Не може да се изтегли съществуващ конфиг: %s"
"Cancel","Отмени"
"Cannot Delete Email Template","Не може да се изтрие Емайл Шаблони"
"Cannot complete this operation from non-admin area.","Cannot complete this operation from non-admin area."
"Category object is required for determining product request path","Category object is required for determining product request path"
"Code","Код"
"Collections Data","Collections Data"
"Configuration","Configuration"
"Controller file was loaded but class does not exist","Контролерния файл е зареден, но класа не съществува"
"Cookie Domain","Домейн на бисквитките"
"Cookie Lifetime","Живот на бисквитките"
"Cookie Path","Път към бисквитките"
"Copyright","Copyright"
"Countries options","Опции за страните"
"Create Store","Създай Магазин"
"Create Store View","Създай изглед на магазин"
"Create Website","Създай уебсайт"
"Current package name","Име на текущ пакет"
"Custom Design","Персонализиран Дизайн"
"Custom admin URL","Custom admin URL"
"Custom email 1","Персонализиран имейл 1"
"Custom email 2","Персонализиран имейл 2"
"Customer support","Поддръжка на клиенти"
"Date From","От дата"
"Date To","До дата"
"Date/time format ""%s"" is not supported.","Date/time format ""%s"" is not supported."
"Debug","Трасиране"
"Default","По подразбиране"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Default Pages","Страници по подразбиране"
"Default Robots","Default Robots"
"Default Store","Магазин по подразбиране"
"Default Store View","Изглед на магазин по подразбиране"
"Default Title","Default Title"
"Default country","Страна по подразбиране"
"Default no-route url","URL за празен път по подразбиране"
"Default web url","Основен уеб URL"
"Delete","Изтрий"
"Delete Store","Изтрий магазин"
"Delete Store View","Изтрий изгледа на магазин"
"Delete Website","Изтрий уебсайт"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."
"Design","Дизайн"
"Design Change","Промяна на дизайна"
"Developer","Разработчик"
"Developer Client Restrictions","Ограничения за Клиентски Разработчици"
"Disable email communications","Изключи на email съобщения"
"Disable modules output","Изключи изходните съобщения на модула"
"Duplicate Of Template Code","Дубликат на шаблонен код"
"Edit Design Change","Редактирай промяна по дизайна"
"Edit Store","Редактирай магазин"
"Edit Store View","Редактирай изглед на магазин"
"Edit Website","Редактирай уебсайт"
"Empty identifier field name","Празно име на идентификатора на полето"
"Empty main table name","Празно име на основната таблица"
"Enabled","Активиран"
"Enabled for Admin","Активирано за Admin"
