"Catalog New Products List","Katalog ny produktlista"
"Use In Search Results Layered Navigation","Använd i lagerbaserad navigattion för sökresultat"
"Delete Category","Ta bort kategori"
"Anchor Custom Text","Anpassad ankartext"
"There are no products matching the selection.","Det finns inga produkter som matchar urvalet"
"Category attributes API","Kategoriattribut API"
"* Required Fields","* Obligatoriska fält"
"Watermark Default Size","Förvald storlek för vattenmärke"
"Skipping import row, required field ""%s"" for new products is not defined.","Hoppar över importrad, obligatorisk fält ""%s"" för nya produkter är inte definerat."
"Attribute with the same code already exists","Ett attribut med samma kod existerar redan"
"Total of %d record(s) have been updated.","Totalt %d post(er) har uppdaterats."
"Retrieve one level of categories by website/store view/parent category","Hämta en nivå med kategorier per website/butiksvy/förälder kaegori"
"Add Root Category","Lägg till rotkategori"
"System Properties","Systemegenskaper"
"Product Prices","Produktpriser"
"Maximum Qty Allowed in Shopping Cart","Maximalt antal tillåtet i varukorg"
"Search","Sök"
"Page Title Separator","Avskiljare för sidtitel"
"Index product attributes for layered navigation building","Index produktattribut för lagerbaserad navigation byggs om"
"Qty Uses Decimals","Antal decimaler"
"Duplicate website, country and state tax found.","Duplicerad webbplats, land och regionmoms funnen."
"Please specify time required option(s).","Vänligen ange de obligatoriska tidalternativen."
"Is Required","Är obligatorisk"
"Compare","Jämföra"
"You have to specify at least one recipient.","Du måste ange minst en mottagare."
"Move category in tree","Flytta kategori i trädet"
"File options format is not valid.","Filalternativ formatet är inte giltigt."
"Buy %1$s for %2$s (%3$s incl. tax) each","Köp %1$s för %2$s (%3$s inkl moms) per st"
"Update attributes","Uppdatera attribut"
"Customers Tagged Product","Kunders uppmärkta produkter"
"An error occurred while clearing comparison list.","Ett fel uppstod medan listan för jämförelse nollställdes."
"The product %s has been removed from comparison list.","Proudkten %s har tagits bort från jämförelselistan."
"Catalog Seo Sitemap (Category List)","Katalog SEO Sitemap (Kategori lista)"
"Use in Advanced Search","Använd i avancerad sökning"
"Set Root Category for Store","Välj butikens rotkategori"
"Please select products for attributes update","Vänligen välj produkter för att uppdatera attribut"
"Are you sure you would like to remove this item from the compare products?","Är du säker på att du vill ta bort denna produkt från jämförelsen?"
"This attribute set no longer exists.","Detta attribut finns inte längre."
"Remove Product From Websites","Ta bort produkt från webbplatser"
"Product Alerts","Produktnotifikationer"
"List Mode","Listläge"
"Create new product","Skapa ny produkt"
"No layout updates","Inga layoutuppdateringar"
"Grid","Rutnät"
"Additional Information","Mer information"
"The base directory to upload image file is not specified.","Baskatalogen för att ladda upp bildfilen är inte angiven."
"Product attribute sets API","Produkt attributmängds API"
