"Account login","Autentificare cont"
"Account password","Parolă cont"
"Active","Activ"
"Add Attribute Mapping","Adaugă mapare atribute"
"Add New Attribute","Adaugă atribut nou"
"Add to Google Base","Adaugă în Google Base"
"Are you sure?","Sunteţi sigur?"
"Attribute","Atribut"
"Attribute Set","Set atribute"
"Attribute Set and Item Type","Set atribute şi tip produs"
"Attributes","Atribute"
"Attributes Set","Set atribute"
"Attributes mapping","Mapare atribute"
"AuthSub","AuthSub"
"Available Products","Produse disponibile""British Pound Sterling","British Pound Sterling""Cannot update Google Base Item for Store '%s'","Nu se poate actualiza produsul Google Base pentru magazinul '%s'"
"Captcha confirmation error: %s","Eroare confirmare cod de verificare %s"
"Captcha confirmed successfully","Codul de verificare a fost confirmat"
"Clicks","Click-uri"
"ClientLogin","Autentificare client"
"Confirm","Confirmare"
"Current Mapping will be reloaded. Continue?","Maparea curentă va fi reîncărcată. Continuaţi?"
"Custom attribute, no mapping","Atribute personalizate, fără mapare"
"Default Store (%s)","Magazin implicit (%s)"
"Delete","Şterge"
"Delete Mapping","Şterge mapare"
"Edit Item Type","Editează tip produs"
"Edit Item Type ""%s""","Editează tip produs ""%s"""
"Error: %s","Eroare: %s""Euro","Euro"
"Expires","Expiră"
"Germany","Germania"
"Google Base","Google Base"
"Google Base Attribute","Atribut Google Base"
"Google Base ID","ID Google Base"
"Google Base Item Type","Tip produs Google Base"
"Google Base Item type","Tip produs Google Base"
"Google Base Items","Produse Google Base"
"Hide","Ascunde"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Model produs incorect pentru produsul Google Base"
"Item Type was deleted","Tipul produsului a fost şters"
"Item Types","Tipuri produs"
"Item model is not specified to delete Google Base entry","Modelul produsului nu este specificat pentru ştergerea lui din Google Base"
"Item type was successfully saved","Tipul produslui a fost şters cu succes"
"Items","Produse"
"Manage Attribute Mapping","Administraţi maparea atributelor"
"Manage Attributes","Administraţi atribute"
"Manage Items","Administraţi produse"
"New Item Type","Tip nou de produs"
"No","Nu"
"No items were deleted from Google Base","Niciun produs nu a fost şters din Google Base"
"No items were published","Niciun produs nu a fost publicat"
"No items were saved as Inactive items","Niciun produs nu a fost salvat drept produse inactive"
"No products were added to Google Base","Niciun produs nu a fost adăugat în Google Base"
"Object model is not specified to save Google Base entry","Modelul obiectului nu este specificat pentru salvare în Google Base"
"Page views","Vizualizări pagină"
"Please, select Attribute Set and Google Item Type to load attributes","Alegeţi set atribute şi tip produse Google pentru a încărca atributele"
"Product Name","Nume produs"
"Publish","Publică"
"Published","Publicat"
"Remove","Şterge"
"Save Mapping","Salvează mapare"
"Synchronize","Sincronizare"
"Target Country","Ţara ţintă"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Această acţiune va actualiza statisticile şi va şterge produsele care nu sunt disponibile în Google Base. Continuaţi?"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","Toate cele %d produse au fost şterse, Toate cele %d produse au fost actualizate"
"Total of %d items(s) were successfully published","Toate cele %d produse au fost publicate cu succes"
"Total of %d items(s) were successfully removed from Google Base","Toate cele %d produse au fost şterse din Google Base"
"Total of %d items(s) were successfully saved as Inactive items","Toate cele %d produse au fost salvate drept produse inactive"
"Total of %d product(s) were successfully added to Google Base","Toate cele %d produse au fost adăugate în Google Base""US Dollar","Dolari americani"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Nu vă puteţi conecta la Google Base. Verificaţi setările contului în configurare"
"United Kingdom","UK"
"United States","SUA"
"Update Google Base item when product is updated","Actualizare Google Base când produsele sunt actualizate"
"View Available Products","Vezi produse disponibile"
"View Item in Google Base","Vizualizare produs în Google Base"
"Yes","Da"
