"-- Please Select --","-- Vă rugăm să alegeţi --"
"Account Registration","Înregistrare cont"
"All fields of script types have to be filled.","Toate câmpurile tipurilor de script trebuie să fie completate."
"Attributes","Atribute"
"Category View Optimization","Optimizare vizualizare categorie"
"Control Script","Script pentru control"
"Conversion Page","Pagina de conversie"
"Conversion Page URL","URL pagina de conversie"
"Conversion Script","Script de conversie"
"Enable","Activează"
"Google Optimizer Scripts","Scripturi Google Optimizer"
"Google Website Optimizer","Google Website Optimizer"
"Install Scripts","Scripturi de instalare"
"Limit is 8 attributes only.","Limita este de 8 atribute."
"Multi Address Checkout","Finalizare comandă cu adrese multiple"
"One Page Checkout","Finalizare comandă pe o singură pagină"
"Order Success (Multi Address Checkout)","Comandă trimisă cu succes (Finalizare comandă cu adrese multiple)"
"Order Success (One Page Checkout)","Comandă trimisă cu succes (Finalizare comandă pe o singură pagină)"
"Original Page","Pagina originală"
"Other","Altul"
"Page Type","Tipul paginii"
"Page View Optimization","Optimizare vizualizare pagină"
"Please copy and paste this value to experiment edit form","Vă rugăm să copiaţi şi să adăugaţi această valoare în formularul experimental de editare"
"Please select store view to see the URL","Selectaţi vizualizare magazin pentru a putea vedea URL-ul"
"Product View Optimization","Optimizare vizualizare produs"
"Scripts Install URL","URL instalare scripturi"
"Shopping Cart","Coş de cumpărături"
"Tracking Script","Script de monitorizare"
"Use Default","Foloseşte implicit"
"Use Default Values","Foloseşte valorile implicite"
"Variant Page","Pagină variantă"
