"%d Review(s)","%d recenzie(i)"
"%s Review(s)","%d recenzie(i)"
"(Posted on %s)","(Postat în %s)"
"1 star","o stea"
"2 stars","2 stele"
"3 stars","3 stele"
"4 stars","4 stele"
"5 stars","5 stele"
"Add New Review","Adaugă recenzie nouă"
"Add Your Review","Adaugaţi recenzia d-voastră"
"Administrator","Administrator"
"All Reviews","Toate recenziile"
"All reviews of customer `%s`","Toate recenziile ale clientului `%s`"
"Allow guests to write reviews","Permite vizitatorilor să scrie recenzii"
"Are you sure you want to do this?","Sunteţi sigur că vreţi să faceţi asta?"
"Are you sure?","Sunteţi sigur?"
"Average Customer Rating","Medie note clienţi"
"Average Customer Rating:","Medie note clienţi:"
"Back","Înapoi"
"Back to Main Product Info","Înapoi la informaţiile de bază ale produsului"
"Back to My Reviews","Înapoi la recenziile mele"
"Back to Product Reviews","Înapoi la recenzii produse"
"Be the first to review this product","Fiţi primul care scrie o recenzie acestui produs"
"Created On","Creat în"
"Customer","Client"
"Customer Reviews","Recenzii clienţi"
"Delete","Şterge"
"Delete Review","Şterge recenzie"
"Detailed Rating","Notă detaliată"
"Edit Review '%s'","Editează recenzia '%s'"
"Guest","Vizitator neînregistrat"
"How do you rate this product?","Cum notaţi acest produs?"
"ID","ID"
"Manage Ratings","Administrare note"
"My Product Reviews","Recenziile produselor mele"
"My Recent Reviews","Recenziile mele recente"
"Name","Nume"
"Name In Store","Nume în magazin"
"New Review","Recenzie nouă"
"Nickname","Pseudonim"
"Pending Reviews","Recenzii nepublicate încă"
"Pending reviews","Recenzii nepublicate încă"
"Pending reviews of customer `%s`","Recenziile încă nepublicate ale clientului `%s`"
"Please select a product","Alegeţi un produs"
"Please select one of each of the ratings above","Selectaţi una din fiecare notă de mai sus"
"Posted By","Postat de"
"Price","Preţ"
"Product","Produs"
"Product Name","Nume produs"
"Product Rating","Notă produs"
"Product Rating:","Notă produs:"
"Product Review (submitted on %s):","Recenzie produs (trimisă la %s):"
"Product Reviews","Recenzii produse"
"Product SKU","Cod intern produs"
"Qty","Cantitate"
"Rating:","Nota:"
"Review","Recenzie"
"Review Details","Detalii recenzie"
"Review by %s","Recenzie de %s"
"Reviews and Ratings","Recenzii şi note"
"SKU","Cod intern"
"Save Review","Salvează recenzie"
"Status","Situaţie"
"Submit Review","Trimite recenzie"
"Summary Rating","Sumar note"
"Summary of Review","Sumar al recenziei"
"Summary of Your Review","Sumar al recenziei d-voastră"
"Summary of review","Sumar al recenziei"
"Title","Titlu"
"Type","Tip"
"Unable to post review. Please, try again later.","Recenzia nu poate fi trimisă. Încercaţi mai târziu."
"Update status","Actualizare situaţie"
"View All Reviews","Vezi toate recenziile"
"View Details","Vezi detalii"
"Visible In","Vizibil în"
"Websites","Website-uri"
"Write Your Own Review","Scrieţi propria recenzie"
"You have submitted no reviews.","Nu aţi trimis nicio recenzie."
"You're reviewing: %s","Scrieţi o recenzie despre: %s"
"Your Rating:","Nota d-voastră:"
"Your Review (submitted on %s):","Recenzia d-voastră (trimisă la %s):"
"Your review has been accepted for moderation","Recenzia d-voastră a fost acceptată pentru moderare"
