"Actions","Acţiuni"
"Active","Activ"
"Add New Rule","Adăugă regulă nouă"
"Apply","Aplică"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplică regula doar dacă următoarele condiţii sunt îndeplinite (lăsaţi necompletat pentru toate produsele)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplică regula doar pentru produsele din coş care îndeplinesc următoarele condiţii (lăsaţi necompletat pentru toate produsele)"
"Apply the rule to cart items matching the following conditions","Aplică regula pentru produsele din coş care îndeplinesc condiţiile"
"Apply to","Aplică pentru"
"Buy X get Y free (discount amount is Y)","Cumpără X, primeşte Y gratuit (cantitatea pentru reducere este Y)"
"By Fixed Amount","După cantitate fixă"
"By Fixed value","După valoare fixă"
"By Percentage","După procentaj"
"By Percentage of the original price","După procentajul preţului original"
"Cart Attribute","Atribut coş"
"Catalog","Catalog"
"Conditions","Condiţii"
"Conditions combination","Combinaţie condiţii"
"Coupon Code","Cod Cupon"
"Coupon code","Cod cupon"
"Customer Groups","Grupuri clienţi"
"Customer is new buyer: %s","Clientul este cumpărător nou: %s"
"Customer registered: %s","Client înregistrat: %s"
"Date Expire","Data expirării"
"Date Start","Data de început"
"Delete Rule","Şterge regulă"
"Description","Descriere"
"Description: %s","Descriere: %s"
"Discount Qty Step (Buy X)","Pas cantitate discount (Cumpără X)"
"Discount amount","Cantitate discount"
"Edit Rule","Editează regulă"
"Edit Rule '%s'","Editează regulă '%s'"
"Expire at: %s","Expiră la: %s"
"Fixed amount discount","Discount cantitate fixă"
"Fixed amount discount for whole cart","Discount cantitate fixă pentru întregul coş"
"For matching items only","Doar pentru produsele care se potrivesc"
"For shipment with matching items","Pentru livrare cu produse care se potrivesc"
"Free shipping","Livrare gratuită"
"From Date","Din data"
"General Information","Informaţii generale"
"ID","ID"
"Inactive","Inactiv"
"Maximum Qty Discount is Applied to","Discount pentru cantitatea maximă este aplicat pentru"
"NOT LOGGED IN","NU ESTE LOGAT"
"Name: %s","Nume: %s"
"New Rule","Regulă nouă"
"No","Nu"
"Payment Method","Metodă de plată"
"Percent of product price discount","Procentaj discount din preţ produse"
"Price in cart","Preţ în coş"
"Priority","Prioritate"
"Product attribute combination","Combinaţie atribute produs"
"Products subselection","Subselecţie produse"
"Promotions","Promoţii"
"Public In RSS Feed","Public în Feed RSS"
"Quantity in cart","Cantitate în coş"
"Row total in cart","Total rânduri în coş"
"Rule Information","Informaţii regulă"
"Rule Name","Nume regulă"
"Rule was successfully deleted","Regula a fost ştearsă"
"Rule was successfully saved","Regula a fost salvată"
"Save Rule","Salvează regula"
"Shipping Country","Ţara de livrare"
"Shipping Method","Metoda de livrare"
"Shipping Postcode","Codul poştal de livrare"
"Shipping Region","Regiunea de livrare"
"Shipping State/Province","Livrare judeţ/provincie"
"Shopping Cart Price Rule","Regulă preţ coş de cumpărături"
"Shopping Cart Price Rules","Reguli preţ coş de cumpărături"
"Special price","Preţ special"
"Start at: %s","Începe la: %s"
"Status","Situaţie"
"Stop further rules processing","Opreşte procesarea regulilor"
"Subtotal","Subtotal"
"The page you are trying to save no longer exists","Pagina pe care încercaţi s-o salvaţi nu mai există"
"This rule no longer exists","Această regulă nu mai există"
"To Date","Până azi"
"To Fixed Amount","Pentru cantitate fixă"
"To Fixed Value","La valoare fixă"
"To Percentage","Pentru procentaj"
"To Percentage of the original price","Pentru procentaj din preţul original"
"Total Items Quantity","Cantitate totală produse"
"Total Weight","Greutate totală"
"Unable to find a page to delete","Pagina nu poate fi găsită pentru a o şterge"
"Update prices using the following information","Actualizează preţurile folosind următoarele informaţii"
"Update product's %s %s: %s","Actualizare %s %s: %s pt. produs"
"Update the Product","Actualizare produs"
"Uses per coupon","Utilizări per cupon"
"Uses per customer","Utilizări per client"
"Yes","Da"
