"* Required Fields","* Câmpuri obligatorii"
"Add","Adaugă"
"Add Gift Message","Adaugă mesaj pt. cadou"
"Allow Gift Messages for Order Items","Permite mesaje pentru cadouri pentru produsele comandate"
"Allow Gift Messages on Order Level","Permite mesaje pentru cadouri la nivel de comandă"
"Are you sure?","Sunteţi sigur?"
"Cancel","Anulare"
"Check this checkbox if you want to add gift messages to your items.","Bifaţi această opţiune dacă doriţi să adăugaţi mesaje produselor."
"Check this checkbox if you want to add gift messages.","Bifaţi această opţiune dacă doriţi să adăugaţi mesaje."
"Close","Închide"
"Do you have any gift items in your order?","Aveţi produse cadou în comandă?"
"Edit","Editare"
"Edit Gift Message","Editează mesaj pentru cadou"
"Enter a gift message for each item in your order.","Introduceţi un mesaj pentru fiecare produs din comandă."
"Enter a gift message for entire order.","Introduceţi un mesaj pentru întreaga comandă."
"Enter a gift message for this address.","Introduceţi un mesaj pentru această adresă."
"Error while saving gift message","Eroare în timp ce salvam mesajul pentru cadou"
"From","De la"
"Gift Message","Mesaj pt. cadou"
"Gift Messages","Mesaje pt. cadouri"
"Gift message has been successfully saved","Mesajul pentru cadou a fost salvat cu succes"
"Item %d of %d","Produs % din %d"
"Message","Mesaj"
"No","Nu"
"Remove","Şterge"
"Save","Salvează"
"Save Gift Message","Salvează mesaj pt. cadou"
"To","Către"
"Unknown entity type","Tip entitate necunoscută"
"Use config","Foloseşte configurare"
"Yes","Da"
"You can leave a box blank if you don\'t wish to add a gift message for the item.","Puteţi lăsa necompletat dacă nu doriţi să adăugaţi un mesaj pentru acest produs"
"You can leave a box blank if you don\'t wish to add a gift message for this address.","Puteţi lăsa necompletat dacă nu doriţi să adăugaţi un mesaj pentru această adresă"
"You can leave a box blank if you don\'t wish to add a gift message for whole order.","Puteţi lăsa necompletat dacă nu doriţi să adăugaţi un mesaj pentru întreaga comandă"
"Your gift message has been successfully removed","Mesajul pentru cadou a fost şters cu succes"
"Your gift message has been successfully saved","Mesajul pentru cadou a fost salvat cu succes"
"Your gift message successfully removed","Mesajul pentru cadou a fost şters cu succes"
"Your gift message successfully saved","Mesajul pentru cadou a fost salvat cu succes"
