"-- Please select --","-- Alegeţi --"
"Allowed currencies","Monede acceptate"
"Base currency","Moneda de bază"
"Cannot retrieve rate from %s","Conversia nu poate fi extrasă de la %s"
"Connection timeout in seconds","Expirare conexiune în secunde"
"Continue &raquo;","Continuă &raquo;"
"Country","Ţară"
"Country Api","API ţară"
"Country and Format Type combination should be unique","Combinaţia de ţară şi tip format trebuie să fie unice"
"Currency","Monedă"
"Currency Options","Opţiuni monedă"
"Currency Setup","Setări monedă"
"Currency Update Warnings","Avertismente actualizare monedă"
"Currency will be used for all online payment transactions","Moneda va fi folosită pentru toate tranzacţiile online"
"Default display currency","Monedă afişată implicit"
"Directory","Director"
"Enabled","Activat"
"Error Email Recipient","Eroare email destinatar"
"Error Email Sender","Eroare email expeditor"
"Error Email Template","Eroare email template"
"FATAL ERROR:","EROARE FATALĂ:"
"Frequency","Frecvenţă"
"Installed Currencies","Monede instalate"
"Invalid Import Service Specified","Serviciul de import specificat nu este valid"
"Invalid country code: %s","Codul ţării este incorect: %s"
"Invalid rates received","Conversiile primite sunt incorecte"
"Invalid target currency","Moneda în care se converteşte nu este validă"
"List of countries","Listă de ţări"
"List of regions in specified country","Listă de regiuni în ţara specificată"
"Region","Regiune"
"Region Api","API regiune"
"Remove space from currency sign","Şterge spaţiul din semnul de monedă"
"Scheduled Import Settings","Setări programare import"
"Select Your Currency","Alegeţi moneda"
"Service","Serviciu"
"Start Time","Oră de start"
"State/Province","Judeţ/Provincie"
"Strikeiron Email Update Warnings","Avertismente actualizare email Strikeiron"
"Unable to initialize import model","Modelul de import nu a putut fi iniţializat"
"Undefined rate from ""%s-%s""","Conversie nedefinită de la ""%s-%s"""
"WARNING:","AVERTISMENT:"
"Webservicex","Webservicex"
"Your current currency is: %s","Moneda ta curentă este: %s"
