"Billing Information","Informaţii de facturare"
"Change Payment Method","Schimbă metoda de plată"
"Change Shipping Address","Schimbă adresa de livrare"
"Edit Shopping Cart","Editează coşul de cumpărături"
"Email","Email"
"Incl. Tax","Inclusiv taxa"
"Items in Your Shopping Cart","Produse în coşul dvs. de cumpărături"
"No shipping method required.","Nu este obligatorie o metodă de livrare."
"PayPal Account","Cont PayPal"
"PayPal Email","Email PayPal"
"Payment Method","Metodă de plată"
"Place an Order","Faceţi o comandă"
"Please select a shipping method...","Vă rugăm să alegeţi o metodă de livrare..."
"Price","Preţ"
"Product Name","Nume produs"
"Qty","Cantitate"
"Review Order","Verifică comanda"
"Shipping Address","Adresă de livrare"
"Shipping Information","Informaţii despre livrare"
"Shipping Method","Metodă de livrare"
"Sorry, no quotes are available for this order at this time.","Ne pare rău, încă nu există menţionări ale acestei comenzi deocamdată."
"Submitting order information...","Informaţiile despre comandă sunt trimise..."
"Subtotal","Subtotal"
"Update Shipping Method","Actualizare metodă de livrare"
"You will be redirected to PayPal website when you place an order.","Veţi fi redirecţionat către siteul PayPal când faceţi o comandă."
"You will be redirected to Paypal in a few seconds.","Veţi fi redirecţionat către siteul PayPal în câteva secunde."
"Your billing address will be ignored and you will be redirected to PayPal website","Adresa de facturare va fi ignorată şi veţi fi redirecţionat către siteul PayPal"
