"# of Uses","# alkalommal"
"%s tag(s) have been accepted for moderation","%s címke elfogadva, moderáció alatt."
"%s tag(s) have been accepted for moderation","%s címke elfogadva, moderáció alatt."
"Your tag was successfully saved","A címkéje sikeresen elmentve"
"Your tag was successfully deleted","A címkéje sikeresen törölve"
"Unable to remove tag. Please, try again later.","A címkét nem sikerült eltávolítani. Próbálja meg később."
"New Tag","Új címke"
"Add New Tag","Új címke"
"Status","Állapot"
"Change status","Állapot változtatás"
"General Information","Általános információ"
"Price","Ár"
"You have not tagged any products yet.","Ön még nem címkézett meg egyetlen terméket sem."
"View All","Összes"
"All Tags","Összes címke"
"View All Tags","Összes címke"
"Are you sure that you want to delete this tag?","Biztos benne hogy törölni szeretné ezt a címkét?"
"Are you sure you want to delete this tag?","Biztos benne hogy törli ezt a címkét?"
"Are you sure?","Biztos benne?"
"Are you sure you want to do this?","Biztosan ezt akarja?"
"Block Information","Blokk információ"
"My Tags","Címkéim"
"Tags","Címkék"
"Add Tags","Címkék hozzáadása"
"Add Your Tags:","Címkék hozzáadása:"
"Tags Aren't Available","Címkék nem elérhetők"
"Tags:","Címkék:"
"Tagged in","Címkézve:"
"Tag","Címke"
"Tag ""%s"" has already been added to the product","Címke (%s) már hozzáadva a termékhez."
"Tag Information","Címke információ"
"Save Tag","Címke mentése"
"Tag can't be empty.","Címke nem lehet üres."
"Tag Name","Címke neve"
"Tag Name: %s","Címke neve: %s"
"Edit Tag","Címke szerkesztése"
"Edit Tag '%s'","Címke szerkesztése '%s'"
"Delete Tag","Címke törlése"
"CSV","CSV"
"SKU","CSZ"
"Email","E-mail"
"Pending Tags","Függő címkék"
"Pending","Függőben"
"Uses","Használat"
"Use spaces to separate tags. Use single quotes (') for phrases.","Használjon szünetet a címkék elválasztásához. Használja az aposztróf jelet (') kifejezésekhez."
"ID","ID"
"ZIP/Post Code","Irányítószám"
"Approved","Jóváhagyva"
"Click on a tag to view your corresponding products.","Kattintson egy címkére a kapcsolódó termékek listájához."
"Add to Wishlist","Kívánságlistára"
"Thank you. Your tag has been accepted for moderation.","Köszönjük. Címkéje elfogadva, jelenleg moderáció alatt."
"Search Results for '%s' (<a href='%s'>RSS</a>)","Keresési eredmények erre: %s (<a href='%s'>RSS</a>)"
"Search Terms","Keresett szavak"
"First Name","Keresztnév"
"Add to Cart","Kosárba rak"
"Visible In","Láthatóság"
"My Recent Tags","Legújabb címkéim"
"List","Lista"
"Other people marked this product with these tags:","Mások ezekkel a címkékkel látták el ezt a terméket:"
"Action","Művelet"
"Actions","Műveletek"
"Customer Since","Mióta vevő"
"Popular","Népszerű"
"Popular Tags","Népszerű címkék"
"Popularity","Népszerűség"
"Name","Név"
"Unable to find any products tagged with '%s' in the current store","Nem található egy termék sem ezzel a címkével (%s) ebben a boltban"
"No matches found.","Nem találtam ilyet."
"Country","Ország"
"Grid","Rács"
"Unable to save tag(s)","Sikertelen címke mentés"
"Unable to save your tag. Please, try again later.","Sikertelen címke mentés, próbálja meg később."
"Delete","Törlés"
"Telephone","Telefon"
"Product Tags","Termék címkék"
"Product SKU","Termék CSZ"
"Product Name","Termék név"
"Products","Termékek"
"Products tagged with '%s'","Termékek címkézve ezzel: '%s'"
"Products Tagged with '%s'","Termékek címkézve ezzel: '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Termékek címkézve ezzel: '%s' (<a href='%s'>RSS</a>)"
"View Products","Termékek megtekintése"
"Disabled","Tiltva"
"Customers","Vásárlók"
"View Customers","Vásárlók megtekintése"
"Customers Tagged '%s'","Vevők akik címkézték '%s'"
"Last Name","Vezetéknév"
"Back","Vissza"
"Back to view Tag","Vissza a címkéhez"
"Back to Tags List","Vissza a címkékhez"
"XML","XML"
