"--Please Select--","--Seleccioneu--"
"<label>Make Check payable to:</label> %s","<label>Fer transferència bancària a nom de:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Fer transferència bancària a nom de</label>: %s"
"Year","Any"
"Purchase order","Comanda comprada"
"Expiration Date","Data de caducitat"
"Expiration Date: %s/%s","Data de caducitat: %s/%s"
"Zero Subtotal Checkout","El subtotal de la caixa és zero"
"Send Check to","Envia transferència bancària a"
"Send Check to:","Envia transferència bancària a:"
"Automatically invoice all items","Factura automàtica de tots els registres"
"Make Check payable to","Fer transferència bancària a nom de"
"Make Check payable to: %s","Fer transferència bancària a nom de: %s"
"Enabled","Habilitat"
"Payment Methods","Mètodes de pagament"
"Month","Mes"
"Purchase Order Number","Número de la comanda comprada"
"Purchase Order Number: %s","Número de la comanda comprada: %s"
"Credit Card Number","Número de la targeta de crèdit"
"Credit Card Number: %s","Número de la targeta de crèdit: %s"
"Credit Card Number: xxxx-%s","Número de la targeta de crèdit: xxxx-%s"
"Card Verification Number","Número de verificació de la targeta"
"Can not configuration for payment method with code: %s","No es pot configurar el mètode de pagament amb el codi: %s"
"Can not retrieve payment info model object.","No es pot recuperar l'objecte de model d'informació del pagament"
"Can not retrieve payment method model object.","No es pot recuperar l'objecte de model de mètode de pagament"
"Can not retrieve payment method instance","No es pot recuperar la instància del mètode de pagament"
"Name on Card","Nom a la targeta"
"Name on the Card: %s","Nom a la targeta: %s"
"New order status","Nou estat de la comanda"
"Sort order","Ordre de classificació"
"Payment from applicable countries","Pagament des dels països aplicables"
"Payment from Specific countries","Pagament des dels països especificats"
"What is this?","Què és això?"
"Payment Methods Section","Secció mètodes de pagament"
"Saved CC","Targetes de crèdit desades"
"Title","Títol"
"Credit Card Types","Tipus de targeta de crèdit"
"Credit Card Type","Tipus de targeta de crèdit"
"Credit Card Type: %s","Tipus de targeta de crèdit: %s"
"Maximum Order Total","Total màxim comandes"
"Minimum Order Total","Total mínim comandes"
"Check / Money order","Transferència bancària"
"Credit Card Verification","Verificació de la targeta de crèdit"
