"* Required Fields","* Camps Requerits"
"Add","Afegeix"
"Add Gift Message","Afegeix missatge de regal"
"Item %d of %d","Article %d de %d"
"Cancel","Cancel·la"
"From","De"
"You can leave a box blank if you don't wish to add a gift message for this address.","Deixeu en blanc si no voleu afegir un missatge de regal per a aquesta adreça."
"You can leave a box blank if you don't wish to add a gift message for the item.","Deixeu en blanc si no voleu afegir un missatge de regal per a l'article."
"You can leave a box blank if you don't wish to add a gift message for whole order.","Deixeu en blanc si no voleu afegir un missatge de regal per a la comanda completa."
"Save","Desa"
"Save Gift Message","Desa el missatge de regal"
"Edit","Edita"
"Edit Gift Message","Edita el missatge de regal"
"Gift message has been successfully saved","El missatge de regal ha estat desat amb èxit"
"Your gift message has been successfully saved","El vostre missatge de regal ha estat desat amb èxit"
"Your gift message successfully saved","El vostre missatge de regal s'ha desat amb èxit"
"Your gift message has been successfully removed","El vostre missatge de regal s'ha eliminat amb èxit"
"Your gift message successfully removed","El vostre missatge de regal s'ha eliminat amb èxit"
"Enter a gift message for this address.","Escriviu un missatge de regal per a aquesta adreça."
"Enter a gift message for each item in your order.","Escriviu un missatge de regal per a cada article de la vostra comanda."
"Enter a gift message for entire order.","Escriviu un missatge de regal per a la comanda completa."
"Are you sure?","Esteu segur?"
"Error while saving gift message","Hi ha hagut un error al desar el missatge de regal"
"Check this checkbox if you want to add gift messages.","Marqueu aquesta casella si voleu afegir missatges de regal."
"Check this checkbox if you want to add gift messages to your items.","Marqueu la casella si voleu afegir missatges de regal als vostres articles."
"Message","Missatge"
"Gift Message","Missatge de regal"
"Gift Messages","Missatges de regal"
"No","No"
"To","Per a"
"Allow Gift Messages on Order Level","Permet missatges de regal a nivell de la comanda"
"Allow Gift Messages for Order Items","Permet missatges de regal per als articles de la comanda"
"Yes","Sí"
"Close","Tanca"
"Do you have any gift items in your order?","Teniu algun article de regal en la vostra comanda?"
"Unknown entity type","Tipus desconegut d'entitat"
"Remove","Treu"
"Use config","Utilitza configuració"
