"* Required Fields","* Obligatoriske felt"
"Cancel","Avbryt"
"Use config","Bruk innstillinger"
"Edit","Endre"
"Edit Gift Message","Endre gavemelding"
"Are you sure?","Er du sikker?"
"Do you have any gift items in your order?","Er noen av varene i bestillingen din gaver?"
"Error while saving gift message","Feil ved lagring av gavemelding"
"Remove","Fjern"
"From","Fra"
"Gift Message","Gavemelding"
"Gift message has been successfully saved","Gavemeldingen ble lagret"
"Your gift message has been successfully saved","Gavemeldingen ble lagret"
"Your gift message successfully saved","Gavemeldingen ble lagret"
"Your gift message has been successfully removed","Gavemeldingen ble slettet"
"Your gift message successfully removed","Gavemeldingen ble slettet"
"Gift Messages","Gavemeldinger"
"Yes","Ja"
"Check this checkbox if you want to add gift messages to your items.","Kryss av her hvis du ønsker å legge til gavemeldinger for noen av varene."
"Check this checkbox if you want to add gift messages.","Kryss av her hvis du ønsker å legge til gavemeldinger."
"You can leave a box blank if you don't wish to add a gift message for this address.","La denne boksen stå tom dersom du ikke ønsker å legge til gavemelding."
"You can leave a box blank if you don't wish to add a gift message for the item.","La denne boksen stå tom dersom du ikke ønsker å legge til gavemelding."
"You can leave a box blank if you don't wish to add a gift message for whole order.","La denne boksen stå tom dersom du ikke ønsker å legge til gavemelding."
"Save","Lagre"
"Save Gift Message","Lagre gavemelding"
"Add","Legg til"
"Add Gift Message","Legg til gavemelding"
"Close","Lukk"
"Message","Melding"
"No","Nei"
"Enter a gift message for this address.","Skriv inn en gavemelding for denne adressen."
"Enter a gift message for entire order.","Skriv inn en gavemelding for hele ordren."
"Enter a gift message for each item in your order.","Skriv inn en gavemelding for hver vare i bestillingen."
"To","til"
"Allow Gift Messages on Order Level","Tillat gavemeldinger på ordrenivå"
"Allow Gift Messages for Order Items","Tillatt gavemelding per vare"
"Unknown entity type","Ukjent instanstype"
"Item %d of %d","Vare %d av %d"
