"Votes Count","Antall stemmer"
"Votes Count:","Antall stemmer:"
"Number of Responses","Antall svar"
"Closed","Avsluttet"
"Poll not exists","Avstemning eksisterer ikke"
"Poll with the same question","Avstemning med samme spørsmål"
"Poll Manager","Avstemningsbehandling"
"Open","Åpen"
"Community Poll","Community-avstemning"
"Date Closed","Dato avsluttet"
"Date Posted","Dato publisert"
"Edit Poll '%s'","Endre avstemning '%s'"
"Edit Poll Answer","Endre svaralternativ"
"Edit Answer '%s'","Endre svaralternativ '%s'"
"Are you sure you want to delete it?","Er du sikker?"
"Actions","Handlinger"
"ID","ID:"
"Disallow voting in a poll multiple times from same IP-address","Ikke tillatt å stemme fra samme IP flere ganger"
"Poll information","Informasjon om avstemning"
"Poll Information","Informasjon om avstemning"
"Unable to find answer to delete.","Kunne ikke slette svaralternativ."
"Save Poll","Lagre avstemning"
"Save Answer","Lagre svaralternativ"
"Add New Poll","Legg til ny avstemning"
"Add New Answer","Legg til nytt svaralternativ"
"Add Answer","Legg til svaralternativ"
"New Poll","Ny avstemning"
"Delete","Slett"
"Delete Poll","Slett avstemning"
"Delete Answer","Slett svaralternativ"
"Poll Question","Spørsmål i avstemning"
"Status","Status:"
"Vote","Stem"
"Answer was successfully saved","Svar ble lagret"
"Answer with the same title in this poll","Svar med samme tekst i denne avstemningen"
"Poll Answers","Svaralternativer"
"Answer Title","Svartekst"
"Answer Title:","Svartekst:"
"Visible In","Synlig i"
"Assigned Answers","Tilhørende svaralternativer"
"Invalid Answer","Ugyldig svaralternativ"
