"API Signature","API ลายเซ็น"
"PayPal Account","บัญชี PayPal "
"Business Account","บัญชีธุรกิจ"
"Product Name","ชื่อสินค้า"
"API User Name","ชื่อผู้ใช้ API"
"Business Name","ชื่อทางธุรกิจ"
"Please select a shipping method...","กรุณาเลือกวิธีการจัดส่งสินค้า..."
"Payment from Specific countries","การชำระเงินจากประเทศที่ระบุ"
"Payment from applicable countries","การชำระเงินจากประเทศที่สามารถใช้ได้"
"Payment Action","การทำการชำระเงิน"
"Submitting order information...","กำลังยอมรับข้อมูลคำสั่งซื้อ"
"Website Payments Standard","มาตรฐานการชำระเงินผ่านเว็บไซต์"
"Subtotal","รวม"
"API Password","รหัสผ่าน API"
"Items in Your Shopping Cart","รายการในรถเข็นของคุณ"
"Price","ราคา"
"Payment Method","วิธีการชำระเงิน"
"Shipping Method","วิธีการจัดส่งสินค้า"
"Place an Order","สั่งซื้อ"
"New order status","สถานะคำสั่งชื่อใหม่"
"Title","หัวข้อ"
"Update Shipping Method","อัพเดทวิธีการจัดส่งสินค้า"
"Qty","จำนวน"
"Your billing address will be ignored and you will be redirected to PayPal website","ที่อยู่สำหรับออกใบเสร็จของคุณจะถูกข้ามไปและคุณจะถูก Redirect ไปยังเว็บไซต์ของ Paypal"
"Shipping Address","ที่อยู่สำหรับจัดส่งสินค้า"
"Sorry, no quotes are available for this order at this time.","ขอโทษ,ไม่มีการอ้างอิงที่ใช้ได้สำหรับออเดอร์นี้ขณะนี้"
"Billing Information","ข้อมูลการออกใบเสร็จ"
"Shipping Information","ข้อมูลการจัดส่งสินค้า"
"You will be redirected to paypal in a few seconds.","คุณจะถูก Redirect ไปยัง Paypal ในอีกไม่กี่วินาที"
"You will be redirected to PayPal website when you place an order.","คุณจะถูก Redirect ไปยังเว็บไซต์ของ Paypal เมื่อคุณสั่งซื้อสินค้า"
"Review Order","ตรวจดูคำสั่งซื้อ"
"Type","ประเภท"
"Credit Card Types","ประเภทบัตรเครดิต"
"Transaction Type","ประเภทธุรกรรม"
"Edit Shopping Cart","แก้ไขรถเข็น"
"Use Proxy","ใช้ Proxy"
"Sort order","เรียงลำดับออเดอร์"
"Change Payment Method","เปลี่ยนแปลงวิธีการชำระเงิน"
"Change Shipping Address","เปลี่ยนแปลงที่อยู่สำหรับจัดส่งสินค้า"
"Enabled","เปิดการใช้งาน"
"Debug Flag","Debug Flag"
"PayPal Email","PayPal อีเมลล์"
"Paypal Logo Image URL(150x150)","Paypal Logo Image URL(150x150)"
"Proxy Port","Proxy พอร์ต"
"Proxy Host","Proxy โฮสต์"
"Sandbox Flag","Sandbox Flag"
"Website Payments Pro (Express, Direct)","Website Payments Pro (Express, Direct)"
