"Invalid entity specified","Καθορίστηκε άκυρη οντότητα"
"Invalid store specified","Καθορίστηκε μη έγκυρο κατάστημα"
"Invalid attribute specified: %s","Καθορίστηκε μη έγκυρο χαρακτηριστικό: %s"
"No options root node found","Κανένα options root node δεν βρέθηκε"
"Invalid entity_type specified: %s","Κατορίστηκε άκυρο entity_type: %s"
"Yes","Ναι"
"Attempt to add an invalid object","Προσπάθεια να προστεθεί άκυρο αντικείμενο"
"Problem loading a record, aborting. Error: %s","Πρόβλημα στη φόρτωση μιας εγγραφής, γίνεται ακύρωση. Σφάλμα: %s"
"Problem loading the collection, aborting. Error: %s","Πρόβλημα στη φόρτωση της συλλογής, γίνεται ακύρωση. Σφάλμα: %s"
"Problem saving a record, aborting. Error: ","Πρόβλημα στην αποθήκευση μιας εγγραφής, γίνεται ακύρωση. Σφάλμα: %s"
"Problem saving the collection, aborting. Error: %s","Πρόβλημα στην αποθήκευση της συλλογής, γίνεται ακύρωση. Σφάλμα: %s"
"Invalid entity supplied","Περάστηκε άκυρη οντότητα"
"Invalid entity supplied: %s","Περάστηκε άκυρη οντότητα: %s"
"Attribute '%s' used in configurable products.","Το Χαρακτηριστικό '%s' χρησιμοποιείται σε διαμορφώσιμα προϊόντα."
"Attribute used in configurable products.","Το Χαρακτηριστικό χρησιμοποιείται σε διαμορφώσιμα προϊόντα."
"Loaded %d records","Φορτώθηκαν %d εγγραφές"
"Attribute with the same code","Χαρακτηριστικό με τον ίδιο κωδικό"
"Invalid joined fields","Μη έγκυρα ενοποιημένα πεδία"
"Invalid data object key","Μη έγκυρο κλειδί αντικειμένου δεδομένων"
"Invalid foreign key","Μη έγκυρο ξένο κλειδί"
"No","Όχι"
"Joined field or attribute expression with this alias is already declared","Έχει ήδη δηλωθεί ένα ενοποιημένο πεδίο ή μια έκφραση χαρακτηριστικού με αυτό το ψευδώνυμο"
"Joined field with this alias is already declared","Έχει ήδη δηλωθεί ένα ενοποιημένο πεδίο με αυτό το ψευδώνυμο"
"Joined field with this alias (%s) is already declared","Έχει ήδη δηλωθεί ένα ενοποιημένο πεδίο με αυτό το ψευδώνυμο (%s)"
"Saved ","Έχει Αποθηκευτεί "
"Entity is not initialized","Η οντότητα δεν έχει αρχικοποιηθεί"
"Frontend label is not defined","Η ετικέτα του Frontend δεν έχει οριστεί."
"Value of attribute ""%s"" must be unique","Η τιμή του χαρακτηριστικού ""%s"" πρέπει να είναι μοναδική"
"Default option value is not defined","Η προεπιλεγμένη τιμή επιλογής δεν έχει οριστεί"
"Invalid attribute requested: %s","Αιτήθηκε μη έγκυρο χαρακτηριστικό: %s"
"Data integrity: No header row found for attribute","Ακεραιότητα Δεδομένων: Δε βρέθηκε γραμμή κεφαλίδας για το χαρακτηριστικό"
"Entity collections expected","Αναμένονται Συλλογές Οντοτήτων"
"Entity collection expected","Αναμένεται Συλλογή Οντοτήτων"
"Valid store_id is expected!","Αναμένεται έγκυρο store_id!"
"Invalid character encountered in increment ID: %s","Βρέθηκε άκυρος χαρακτήρας στη προσαύξηση του ID: %s"
"Unknown parameter","Άγνωστη παράμετρος"
"Invalid entity_id, skipping the record","Άκυρο entity_id, προσπέραση εγγραφής"
"Invalid attribute name: %s","Άκυρο όνομα χαρακτηριστικού: %s"
"Invalid alias, already exists in joined attributes","Άκυρο ψευδώνυμο, υπάρχει ήδη σε συζευγμένα χαρακτηριστικά"
"Invalid entity type","Άκυρος τύπος οντότητας"
"Invalid attribute type","Άκυρος τύπος χαρακτηριστικού"
"Wrong attribute group ID","Εσφαλμένο ID ομάδας χαρακτηριστικών"
"Wrong entity ID","Εσφαλμένο ID οντότητας"
"Wrong attribute set ID","Εσφαλμένο ID συνόλου χαρακτηριστικών"
"Wrong attribute ID","Εσφαλμένο ID χαρακτηριστικού"
