"%s - Special Discounts","%s - Ειδκές Εκπτώσεις"
"%s - Discounts and Coupons","%s - Εκπτώσεις Και Κουπόνια"
"%s has reached a quantity of %s.","%s έχει φτάσει τη ποσότητα των %s."
"click <a href=""%s"">here</a> to view the review","Κάντε κλικ <a href=""%s"">εδώ</a> για να δείτε την αξιολόγηση"
"Catalog","Κατάλογος"
"Store: %s <br/>","Κατάστημα: %s <br/>"
"Top Level Category","Κατηγορία Ανώτερου Επιπέδου"
"Coupons/Discounts","Κουπόνια/Εκπτώσεις"
"New Products","Νέα Προϊόντα"
"New Products from %s","Νέα Προϊόντα Από %s"
"New Orders","Νέες Παραγγελίες"
"Product: ""%s"" review By: %s","Προϊόν: ""%s"" αξιολόγηση από :%s"
"Product: <a href=""%s"">%s</a> <br/>","Προϊόν: <a href=""%s"">%s</a> <br/>"
"Low Stock Products","Προϊόντα με Χαμηλή Διαθεσιμότητα"
"Products tagged with %s","Προϊόντα που έχουν ετικέτες %s"
"Error in processing xml. %s","Πρόβλημα στην επεξεργασια της xml. %s"
"To:","Πρός:"
"Order #%s created at %s","Παραγγελία #%s δημιουργήθηκε στο %s"
"Summary of review: %s <br/>","Περίληψη αξιολόγησης: %s <br/>"
"Rss Config","Ρύθμιση Rss"
"Total: %s<br/>","Σύνολο: %s<br/>"
"Comment: %s<br/>","Σχόλιο: %s<br/>"
"Grand Total","Τελικό Σύνολο"
"Current Status: %s<br/>","Τωρινή Κατάσταση: %s<br/>"
"Tax","Φόρος"
"Gift Message","Μήνυμα Δώρου"
"Message:","Μήνυμα:"
"Customer Name: %s","Όνομα Πελάτη: %s"
"Subtotal","Μερικό Σύνολο"
"Shipping & Handling","Μεταφορικά & Φορτοεκφόρτωση"
"Discount ","Έκπτωση"
"Notified Date: %s<br/>","Ημερομηνία Ειδοποιήσης: %s<br/>"
"Purchased From: %s","Αγοράστηκε Από: %s"
"Pending product review(s)","Αξιολόγηση(εις) προϊόντων σε αναμονή"
"Review: %s <br/>","Αξιολόγηση: %s <br/>"
"From:","Από:"
"Cannot retrieve the wishlist","Δεν είναι δυνατή η ανάκτηση της λίστας επιθυμητών"
"There are no %s.","Δεν υπάρχουν %s."
"Special Products","Ειδικά Προϊόντα"
"Special/Discount Products","Ειδικά/Με Έκπτωση Προϊόντα"
"Customer Order Status Notification","Ειδοποιήση Κατάστασης Παραγγελίας Πελάτη"
"Order # %s Notification(s)","Ειδοποιήση(εις) Παραγελλίας # %s"
"Enable RSS","Ενεργοποιήση RSS"
"Tags Products","Ετικέτες Προϊόντα"
"Get Feed","Λήψη RSS"
"Wishlist","Λίστα Επιθυμητών"
"%s's Wishlist","Λίστα Επιθυμητών του %s"
"Details for %s #%s","Λεπτομέρειες για %s #%s"
"RSS Feeds","RSS Feeds"
